,Portfolio-Value-diff,Market-based-PnL,Summe Einzel-Tages-PnL,Abweichung (Portfolio vs Market),Abweichung (Portfolio vs Summe)
2022-02-09,1749.35414849699,1749.3541484968584,1749.354148496859,1.3164935808163136e-10,1.311946107307449e-10
2022-02-10,-4610.565149810282,-4610.565149810268,-4610.565149810269,-1.3642420526593924e-11,-1.2732925824820995e-11
2022-02-11,-2659.6499397451407,-2659.649939745081,-2659.6499397450807,-5.95719029661268e-11,-6.002665031701326e-11
2022-02-14,-1639.6601864265976,-1639.6601864266065,-1639.6601864266063,8.86757334228605e-12,8.640199666842818e-12
2022-02-15,3496.0351427213172,3496.0351427213377,3496.0351427213386,-2.0463630789890885e-11,-2.1373125491663814e-11
2022-02-16,438.0709848863189,438.07098488637587,438.07098488637587,-5.695710569852963e-11,-5.695710569852963e-11
2022-02-17,-3352.544334933453,-3352.5443349335105,-3352.54433493351,5.775291356258094e-11,5.729816621169448e-11
2022-02-18,-1697.3251229021698,-1697.3251229020882,-1697.3251229020887,-8.162714948412031e-11,-8.117240213323385e-11
2022-02-21,0.0,0.0,0.0,0.0,0.0
2022-02-22,-3259.112774889567,-3259.112774889682,-3259.112774889682,1.1505107977427542e-10,1.1505107977427542e-10
2022-02-23,-2973.575693885301,-2973.57569388528,-2973.5756938852796,-2.091837814077735e-11,-2.1373125491663814e-11
2022-02-24,2178.852553325094,2178.852553325129,2178.8525533251286,-3.501554601825774e-11,-3.456079866737127e-11
2022-02-25,7261.730736738886,7261.730736738836,7261.730736738836,5.002220859751105e-11,5.002220859751105e-11
2022-02-28,1359.2157914661802,1359.2157914662173,1359.2157914662175,-3.7061909097246826e-11,-3.728928277269006e-11
2022-03-01,-487.13990618276875,-487.139906182775,-487.13990618277506,6.252776074688882e-12,6.30961949354969e-12
2022-03-02,3898.7730629859143,3898.7730629859498,3898.773062985949,-3.54702933691442e-11,-3.456079866737127e-11
2022-03-03,473.1050333714229,473.10503337144985,473.1050333714498,-2.6943780540023e-11,-2.688693712116219e-11
2022-03-04,1582.6333867002977,1582.633386700182,1582.6333867001817,1.1573320080060512e-10,1.1596057447604835e-10
2022-03-07,-1234.709973695164,-1234.7099736951584,-1234.7099736951586,-5.6843418860808015e-12,-5.4569682106375694e-12
2022-03-08,-1549.70345158485,-1549.7034515847656,-1549.7034515847658,-8.43556335894391e-11,-8.412825991399586e-11
2022-03-09,1094.459643214068,1094.4596432140056,1094.4596432140058,6.230038707144558e-11,6.207301339600235e-11
2022-03-10,2106.458332835464,2106.4583328355066,2106.458332835507,-4.274625098332763e-11,-4.320099833421409e-11
2022-03-11,-2793.074079939164,-2793.074079939115,-2793.074079939115,-4.9112713895738125e-11,-4.9112713895738125e-11
2022-03-14,-1777.0380384581513,-1777.0380384582625,-1777.0380384582627,1.1118572729174048e-10,1.1141310096718371e-10
2022-03-15,2626.894306567032,2626.894306567,2626.894306567,3.183231456205249e-11,3.183231456205249e-11
2022-03-16,2338.0947559883352,2338.094755988513,2338.094755988513,-1.7780621419660747e-10,-1.7780621419660747e-10
2022-03-17,5676.977160833834,5676.977160833874,5676.977160833873,-4.001776687800884e-11,-3.9108272176235914e-11
2022-03-18,2219.7205704097287,2219.720570409552,2219.720570409552,1.7689671949483454e-10,1.7689671949483454e-10
2022-03-21,2984.9469749662094,2984.946974966267,2984.9469749662676,-5.775291356258094e-11,-5.820766091346741e-11
2022-03-22,1859.1699537762906,1859.1699537763134,1859.1699537763134,-2.2737367544323206e-11,-2.2737367544323206e-11
2022-03-23,-923.2283754012897,-923.2283754012565,-923.2283754012567,-3.319655661471188e-11,-3.296918293926865e-11
2022-03-24,3491.3341884205,3491.3341884205397,3491.3341884205397,-3.956301952712238e-11,-3.956301952712238e-11
2022-03-25,1866.9835623624385,1866.9835623623965,1866.9835623623962,4.206412995699793e-11,4.229150363244116e-11
2022-03-28,1494.303787568817,1494.3037875686948,1494.303787568695,1.2209966371301562e-10,1.2187229003757238e-10
2022-03-29,458.66911668505054,458.66911668513217,458.6691166851321,-8.162714948412031e-11,-8.15703060652595e-11
2022-03-30,2218.392455140711,2218.392455140719,2218.392455140719,-8.185452315956354e-12,-8.185452315956354e-12
2022-03-31,-3623.7533052134095,-3623.753305213386,-3623.753305213385,-2.3646862246096134e-11,-2.4556356947869062e-11
2022-04-01,1378.2674605810898,1378.267460581111,1378.2674605811112,-2.114575181622058e-11,-2.1373125491663814e-11
2022-04-04,404.3927836295916,404.3927836296929,404.3927836296928,-1.0129497240995988e-10,-1.0123812899109907e-10
2022-04-05,-1141.1946463148342,-1141.1946463148995,-1141.1946463148997,6.52562448522076e-11,6.548361852765083e-11
2022-04-06,3252.194287996681,3252.1942879967573,3252.1942879967573,-7.639755494892597e-11,-7.639755494892597e-11
2022-04-07,4776.757577046868,4776.757577046719,4776.757577046721,1.4915713109076023e-10,1.4733814168721437e-10
2022-04-08,1657.856512199447,1657.856512199495,1657.8565121994948,-4.7975845518521965e-11,-4.774847184307873e-11
2022-04-11,-7045.519845291623,-7045.5198452915865,-7045.519845291586,-3.637978807091713e-11,-3.728928277269006e-11
2022-04-12,-559.1108648327645,-559.1108648326884,-559.1108648326883,-7.605649443576112e-11,-7.617018127348274e-11
2022-04-13,-1536.3336024571327,-1536.3336024572593,-1536.333602457259,1.2664713722188026e-10,1.2641976354643703e-10
2022-04-14,88.61874122387962,88.61874122385719,88.61874122385726,2.2438939595303964e-11,2.2367885321727954e-11
2022-04-15,0.0,0.0,0.0,0.0,0.0
2022-04-18,-781.5366415784229,-781.5366415784047,-781.5366415784047,-1.8189894035458565e-11,-1.8189894035458565e-11
2022-04-19,602.1078830795595,602.1078830796439,602.1078830796438,-8.43556335894391e-11,-8.424194675171748e-11
2022-04-20,-1478.8681596611277,-1478.86815966117,-1478.8681596611702,4.229150363244116e-11,4.2518877307884395e-11
2022-04-21,-2089.8351233146386,-2089.835123314689,-2089.8351233146886,5.047695594839752e-11,5.002220859751105e-11
2022-04-22,-7341.599996608915,-7341.59999660884,-7341.599996608841,-7.457856554538012e-11,-7.366907084360719e-11
2022-04-25,-327.75230575172463,-327.7523057518463,-327.75230575184617,1.2164491636212915e-10,1.2153122952440754e-10
2022-04-26,-5707.896757618757,-5707.896757618675,-5707.896757618675,-8.185452315956354e-11,-8.185452315956354e-11
2022-04-27,2222.1211182316183,2222.1211182316474,2222.121118231648,-2.9103830456733704e-11,-2.955857780762017e-11
2022-04-28,4822.165069087991,4822.165069088002,4822.165069088002,-1.1823431123048067e-11,-1.1823431123048067e-11
2022-04-29,-10345.259097926551,-10345.259097926588,-10345.259097926588,3.637978807091713e-11,3.637978807091713e-11
2022-05-02,113.08058065001387,113.08058065009581,113.08058065009584,-8.193978828785475e-11,-8.196820999728516e-11
