,Portfolio-Value-diff,Summe Einzel-Tages-PnL,Abweichung
2021-11-01,-8887.403257512371,71.20684279447049,-8958.610100306842
2021-11-02,331.0691039962985,331.0691039963355,-3.700506567838602e-11
2021-11-03,902.7424975463073,902.7424975463126,-5.343281372915953e-12
2021-11-04,1135.49820189178,1135.4982018917697,1.0231815394945443e-11
2021-11-05,323.43210308402195,323.43210308404616,-2.4215296434704214e-11
2021-11-08,-117.42665549673256,-117.42665549676148,2.8919089345436078e-11
2021-11-09,-744.3431468256458,-744.3431468256608,1.5006662579253316e-11
2021-11-10,-533.1594636424561,-533.1594636424511,-5.002220859751105e-12
2021-11-11,73.33446544408798,73.33446544406861,1.936939497682033e-11
2021-11-12,856.1726887313416,856.1726887313677,-2.603428583825007e-11
2021-11-15,-166.4825977392611,-166.4825977392669,5.7980287238024175e-12
2021-11-16,463.5856558038504,463.58565580388057,-3.0183855415089056e-11
2021-11-17,-320.2067563494784,-320.2067563494884,1.000444171950221e-11
2021-11-18,587.9851659988635,587.9851659988392,2.432898327242583e-11
2021-11-19,-70.25194714040845,-70.25194714039927,-9.180212146020494e-12
2021-11-22,-941.7259055172617,-941.7259055173033,4.160938260611147e-11
2021-11-23,542.2757367111626,542.27573671121,-4.7407411329913884e-11
2021-11-24,634.3726863785414,634.3726863785204,2.1032064978498966e-11
2021-11-25,0.0,0.0,0.0
2021-11-26,-2195.68563895041,-2195.6856389503923,-1.77351466845721e-11
2021-11-29,1386.1721083651646,1386.1721083651917,-2.7057467377744615e-11
2021-11-30,-1878.633139312995,-1878.6331393130504,5.547917680814862e-11
2021-12-01,-1552.622366516036,-1132.6903607447978,-419.9320057712382
2021-12-02,764.672756689135,764.6727566891379,-2.9558577807620168e-12
2021-12-03,-791.5946011220221,-791.5946011219952,-2.6943780540023e-11
2021-12-06,1429.1812791098491,1429.1812791098803,-3.115019353572279e-11
2021-12-07,2063.1996114258363,2063.1996114258063,3.001332515850663e-11
2021-12-08,265.1689461779024,265.1689461779061,-3.694822225952521e-12
2021-12-09,-530.6544324239949,-530.6544324239845,-1.0345502232667059e-11
2021-12-10,1423.1060806331225,1423.106080633106,1.6370904631912708e-11
2021-12-13,-897.239863776922,-897.239863776926,3.979039320256561e-12
2021-12-14,-365.30281457770616,-365.30281457768695,-1.921307557495311e-11
2021-12-15,2372.9409258173255,2372.940925817315,1.0459189070388675e-11
2021-12-16,-976.6742550120689,-976.6742550121,3.115019353572279e-11
2021-12-17,-1276.9640442129457,-1276.9640442129444,-1.3642420526593924e-12
2021-12-20,-881.9559620822547,-881.9559620822512,-3.524291969370097e-12
2021-12-21,1577.0132158745546,1577.0132158745632,-8.640199666842818e-12
2021-12-22,1304.0519865214592,1304.0519865214608,-1.5916157281026244e-12
2021-12-23,775.2339233736275,775.2339233736211,6.366462912410498e-12
2021-12-24,0.0,0.0,0.0
2021-12-27,1390.1672757252527,1390.1672757252777,-2.5011104298755527e-11
